"covariate","rho","correlation","lo","hi"
"Gini",0.33,0.100800066363739,-0.295003718993832,0.537607849112143
"Gini",0.335,0.10090072281458,-0.294900059598412,0.537306395256492
"Gini",0.34,0.100991731956229,-0.29541836844214,0.536987908382021
"Gini",0.345,0.101073566016054,NA,NA
"Gini",0.35,0.101146672638088,NA,NA
"Gini",0.355,0.101211476378498,NA,NA
"Gini",0.36,0.101268380093938,NA,NA
"Gini",0.365,0.10131776623155,-0.295638892587661,0.536243730112694
"Gini",0.37,0.101359998028558,-0.295017464796282,0.53639882320509
"Gini",0.375,0.101395420628711,-0.294947293874625,0.536550227611749
"Gini",0.38,0.101424362122207,-0.29449788501277,0.536698059335917
"Gini",0.385,0.101447134515128,-0.294556264819117,0.536842427257066
"Gini",0.39,0.101464034633887,-0.294425869946208,0.536812252988166
"Gini",0.395,0.101475344969736,-0.294120380581936,0.53663259205576
"Gini",0.4,0.101481334467928,-0.293815772715699,0.536447725126648
"Inflation",0.01,-0.672880115646996,-0.877206926862809,-0.507420551113357
"Inflation",0.015,-0.749799865149558,-0.885354648009468,-0.594834757739865
"Inflation",0.02,-0.770140554237655,-0.889081142353853,-0.610300006519931
"Inflation",0.025,-0.768919979519341,-0.89184174291895,-0.59292824303626
"Inflation",0.03,-0.756607553833274,-0.892091558513707,-0.565377753458339
"Inflation",0.035,-0.738173108738238,-0.885800128757673,-0.527119635809053
"Inflation",0.04,-0.716469013152131,-0.878586595115428,-0.481329957352487
"Inflation",0.045,-0.693255333256298,NA,NA
"Inflation",0.05,-0.669641671554925,-0.859313967242325,-0.396169942378321
"Inflation",0.055,-0.646324718288131,-0.846713247920628,-0.353662808640306
"Inflation",0.06,-0.62373203459288,NA,NA
"Inflation",0.065,-0.602114168253996,-0.825465206407978,-0.271847687387702
"Inflation",0.07,-0.58160522525505,NA,NA
"Inflation",0.075,-0.562263172312353,-0.809514243327465,-0.199465450940848
"Inflation",0.08,-0.544096791929721,-0.802839756586363,-0.170643048909622
"Inflation",0.085,-0.52708374071423,NA,NA
"Inflation",0.09,-0.511182638603681,-0.786654531871601,-0.114088394848323
"Inflation",0.095,-0.496341137251866,-0.779881909486359,-0.092003006173176
"Inflation",0.1,-0.482501272816689,NA,NA
"Inflation",0.105,-0.469602981708867,-0.766995857022609,-0.0508314589614958
"Inflation",0.11,-0.457586372898065,-0.761099574957384,-0.0368009613903165
"Inflation",0.115,-0.446393159167174,NA,NA
"Inflation",0.12,-0.435967520879833,-0.750581341331185,-0.0106190058266001
"Inflation",0.125,-0.426256588689235,-0.746785190438893,0.00159874488624314
"Inflation",0.13,-0.417210672452201,-0.743708896170863,0.0132555972350932
"Inflation",0.135,-0.408783323294376,-0.738548671117721,0.023605075145783
"Inflation",0.14,-0.400931288203684,-0.733293023308043,0.0364693347082482
"Inflation",0.145,-0.39361439762172,NA,NA
"Inflation",0.15,-0.386795413503691,NA,NA
"Inflation",0.155,-0.38043985636488,-0.72379627865814,0.065862697299496
"Inflation",0.16,-0.374515823660893,-0.721594565071441,0.0723979638039223
"Inflation",0.165,-0.368993807596834,-0.71956357271809,0.0783989886124991
